Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,20.851052999999997,t
2020,76,Brazil,12.487943999999999,t
2020,484,Mexico,0.21,t
2020,528,Netherlands,1.5e-05,t
2020,703,Slovakia,1.863,t
2020,724,Spain,0.516804,t
2020,752,Sweden,0.4785,t
2020,842,USA,5.29479,t
2021,842,USA,0.013607699999999999,t
2021,792,Türkiye,0.120315,t
2021,724,Spain,1.785,t
2021,703,Slovakia,2.616,t
2021,484,Mexico,1.2011999999999998,t
2021,152,Chile,0.00036599999999999697,t
2021,76,Brazil,16.2835257,t
2021,32,Argentina,0.1797,t
2021,0,World,22.6111464,t
2021,156,China,0.41143199999999996,t
2022,699,India,0.0,
2022,842,USA,0.0,
2022,826,United Kingdom,0.0,
2022,792,Türkiye,0.0,
2022,724,Spain,0.0,
2022,484,Mexico,0.0,
2022,276,Germany,0.0,
2022,156,China,0.0,
2022,152,Chile,0.0,
2022,76,Brazil,0.0,
2022,36,Australia,0.0,
2022,32,Argentina,0.0,
2022,0,World,0.0,
2022,170,Colombia,0.0,
2023,276,Germany,0.0,
2023,842,USA,0.0,
2023,826,United Kingdom,0.0,
2023,604,Peru,0.0,
2023,484,Mexico,0.0,
2023,36,Australia,0.0,
2023,76,Brazil,0.0,
2023,32,Argentina,0.0,
2023,0,World,0.0,
2023,156,China,0.0,
2024,410,Rep. of Korea,0.0,
2024,484,Mexico,0.0,
2024,276,Germany,0.0,
2024,724,Spain,0.0,
2024,76,Brazil,0.0,
2024,32,Argentina,0.0,
2024,0,World,0.0,
2024,156,China,0.0,
2024,842,USA,0.0,
