Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,5.920319999999999,t
2020,276,Germany,0.029249999999999998,t
2020,380,Italy,4.94703,t
2020,699,India,8.999999999999999e-05,t
2020,792,Türkiye,0.006,t
2020,826,United Kingdom,0.93762,t
2020,842,USA,0.00032999999999999994,t
2021,842,USA,0.0026999999999999997,t
2021,792,Türkiye,0.012599999999999998,t
2021,528,Netherlands,0.006,t
2021,484,Mexico,0.375,t
2021,826,United Kingdom,0.0852,t
2021,276,Germany,0.029249999999999998,t
2021,56,Belgium,0.008459999999999999,t
2021,0,World,2.6352,t
2021,380,Italy,2.11599,t
2022,860,Uzbekistan,3e-05,t
2022,842,USA,0.37515,t
2022,826,United Kingdom,0.00618,t
2022,792,Türkiye,0.00063,t
2022,616,Poland,0.00032999999999999994,t
2022,484,Mexico,0.00195,t
2022,276,Germany,0.7032,t
2022,56,Belgium,0.29667,t
2022,0,World,7.08684,t
2022,380,Italy,5.7027,t
2023,764,Thailand,3e-05,t
2023,842,USA,3e-05,t
2023,826,United Kingdom,0.01248,t
2023,724,Spain,3e-05,t
2023,0,World,6.22665,t
2023,380,Italy,5.4650099999999995,t
2023,276,Germany,0.6513,t
2023,56,Belgium,0.09774,t
2023,586,Pakistan,3e-05,t
2024,804,Ukraine,3e-05,t
2024,699,India,6e-05,t
2024,682,Saudi Arabia,0.00012,t
2024,616,Poland,0.00012,t
2024,586,Pakistan,0.00075,t
2024,484,Mexico,0.0011099999999999999,t
2024,380,Italy,8.677439999999999,t
2024,372,Ireland,0.05829,t
2024,251,France,0.0003,t
2024,156,China,6e-05,t
2024,100,Bulgaria,0.0156,t
2024,76,Brazil,3e-05,t
2024,56,Belgium,0.31223999999999996,t
2024,36,Australia,3e-05,t
2024,0,World,9.785129999999999,t
2024,826,United Kingdom,0.00624,t
2024,276,Germany,0.71259,t
2024,842,USA,0.00012,t
